岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
电子硬件工程师（实习岗2名）,光交澳,300-500元/天,上海浦东新区张江集电港1号楼(西北门)106,"1、辅助团队完成产品元件选型、原理图设计；
2、负责完成电路板PCB布局设计；
3、负责硬件焊接调试，协助完成电路板测试程序开发；
4、参与编写相关开发、测试相关文档；
5、参与团队其它事务；
任职要求：
1、电子、机械电子、自控、仪器仪表、机器人等相关专业，本科大四或研究生二年级以上（限上海高校）；每周保证有32小时以上在公司工作；
2、熟练使用至少一种EDA软件，Altium Designer，Mentor，Cadence等，有双层板以上设计经验；有智能硬件项目开发经验优先；
3、熟悉MCU或ARM嵌入式系统及其周边电路设计，具备很强的电路分析能力，能独立设计电路优先；
4、了解器件选型规则，熟悉硬件产品开发，测试流程，能够手工焊接样品板；
5、动手能力强，有创新及团队合作精神，有“挑战杯”等相关智能大赛经验优先；","4天/周
2个月
本科","单片机开发,"
电子工程师（实习岗）,上海联影,200-250元/天,上海嘉定区上海联影医疗科技股份有限公司B区306,"工作内容：
1.医疗器械硬件系统架构设计，软硬件通信、运动控制方案制定；
2.基于FPGA、ARM架构开发医疗设备产品控制板卡；
3.伺服电机驱动控制系统硬件系统开发，底层驱动开发；
4.参与产品需求、系统方案制定，完成产品从开发到产品量产相关测试和认证支持工作。
经验要求：
1.良好的数字电路、模拟电路基础知识，有一定的实际项目开发经验；
2.熟悉伺服电机系统驱动，有一定的底层驱动和硬件控制电路开发经验；
3.有大型复杂设备系统开发经验尤佳。
学历要求：
1.研究生以上学历，电力电子与电力传动，电气工程及自动化，机电一体化相关专业；
2.良好的沟通协调能力，具备良好的领导能力；
3.良好的逻辑思维能力和大局意识。","3天/周
3个月
硕士","数字电路设计,模拟电路设计,AD9/AD10,Candence/Allegro,,,,"
运维工程师（实习岗）,宽惠股份,180-200元/天,上海宝山区上海宝山科技网机房长江西路101号,"岗位职责：
1、 负责机房客户设备（服务器、交换机、防火墙、路由器、存储等）上/下架；
2、 机房公司所属网络设备的上/下架、安装及配合测试；
3、 负责机房内网线、光纤、专线、电源线等各种线缆的综合布线工作；
4、 配合客户方对设备进行维护、故障处理等工作；
5、 在客户授权下对客户的硬盘、内存、网卡等部件进行更换；
6、 对机房内客户托管机器设备以及公司自有设备进行日常维护巡检，保持机房运行环境的良好状态，总结成报表提交；
7、 进行机房机柜资源信息核查，记录并形成相关运维报表提交；
8、 代收代发及分类保管客户的设备及配件；
9、 突发异常事件及时上报（如机房电力、制冷、网络等异常情况）并协调处理；
10、领导交代的其他任务。
职位要求：
1、 计算机或相关专业优先；
2、 熟悉Windows/UNIX/Linux操作系统的基本使用；
3、 了解主流网络/安全产品配置(如: CISCO、H3C、华为 )；
4、 熟练使用微软office等办公软件.了解日常监控软件使用；
5、 有强烈的责任心，能够认真负责的完成任务；
6、 语言表达能力优秀，有一定的动手能力，为人踏实，能吃苦耐劳，
7、 家住宝山区长江西路附近的优先。
其他福利：节日福利、不定期培训及团队活动。","5天/周
3个月","计算机相关专业,IDC机房运维,"
硬件研发工程师（实习生）,暖禾脑科学,120-200元/天,上海徐汇区枫林国际中心ⅡA3304,"岗位职责
1、参与脑机接口原型样机的硬件方案设计；
2、参与原型机的电路设计，包括原理图、PCB设计、器件选型等；
3、参与原型机的底层软件开发与调试；
4、参与编写相关的设计文档。
任职资格
1、本科生或研究生；
2、至少掌握一款常用电路板设计工具软件，如AltiumDesigner、Cadence、KiCad等；
3、掌握C/C++编程语言，具有嵌入式处理器底层软件开发经验；
4、具有扎实的模拟电路、数字电路，信号处理等基础知识，熟悉微弱信号采集、放大、滤波，对噪声处理有深入理解；
5、熟悉总线通信协议，具备ADC、时钟、LED等元器件开发调试经验；
6、熟悉WIFI、蓝牙等无线通信协议者优先；
7、有脑电、心电、肌电、眼电等相关项目经验者优先；
8、有医疗器械开发经验者优先。","4天/周
3个月
本科","电路设计,PCB设计,器件选型,Cadence,C++,Protel,,"
初级软件工程师（实习岗）,上海诺之嘉,200-250元/天,上海闵行区上海诺诚电气股份有限公司南沙路68号,"1、应届本科及以上学历，计算机、通信、电子或相关专业； 
2、熟练掌握C/C++或C#语言开发技能；
3、熟悉基本的软件开发流程，熟悉软件工程
4、有较强的学习能力和沟通能力,具备良好的合作和敬业精神；","7天/周
2个月
本科","C++,"
系统运维工程师实习岗,全星科技,200-250元/天,上海闵行区慧峰商务大厦801,"工作内容：
项目资料维护录入，项目实施辅助工作，系统功能配置，项目功能配置。
技能要求：
EXCEL熟练，打字快
对数据库SQL有掌握 MYSQL SQL_SERVER ORACLE任一
工作要求：
工作仔细、认真、责任心强，细心、耐心少说多想多做，具备建设性沟通能力。学习能力强，保持成长性。
学历参考：大学本科（普通高考统招、公办国内大学）、软件相关专业","5天/周
3个月
本科","系统运维,实施交付运维,"
数据治理工程师（实习岗）,数兆科技,250-350元/天,上海松江区莘砖公路258号34号楼5层501室,"数据治理工程师
岗位职责：
1.参与公司大数据产品在客户侧落地的交付工作，与团队协作确保项目实施质量；
2.负责根据客户需求，为客户设计合理的数据采集方案、ETL方案，指导客户使用SDK完成数据接入；
3.负责客户接入数据的测试工作，跟进问题解决，保障数据质量可用；
4.负责根据需求场景，完成大数据平台的看板可视化配置、用户标签配置；
岗位要求：
1.大专及以上学历，大数据及计算机相关专业优先；
2.熟悉数据平台建设、数据可视化或数据测试相；
3.有良好的沟通能力和逻辑思考能力，能够推动解决客户的问题，并能够承受一线客户的压力；
4.工作耐心、细致，能沟通和处理客户关系优先；","5天/周
12个月
大专","计算机相关专业,ETL开发经验,"
【华为校招/实习生】软件研发工程师,西安华为,18-30K,上海浦东新区华为技术有限公司上海研究所上海浦东新区华为技术有限公司上海研究所华为云计算,"1. 负责数据库内核、云服务管控平台的设计与优化、研发及管理，包括从内核到用户侧端到端一整套数据库服务的研发，提供全球领先的数据库服务；
2. 通过对业务的理解，对现有产品和系统进行改进与优化；
3. 从用户和技术出发，实现面向未来的系统规划、设计与落地；
4. 负责数据库相关领域的新技术探索，构建数据库高性能、高可用、极致体验等核心竞争力。
我们需要你：
1. 熟练掌握C/C++/Java/Python/JavaScript中一种或多种编码能力；
2. 了解常用的软件架构模式、基本的编程编译工具，熟悉多核/多进程，线程/协程编程模型及其调优方法；
3. 熟悉Linux操作系统、数据库应用，熟悉代码优化的规则与技巧；
4. 熟悉PostgreSQL、Oracle、MySQL等数据库，有数据库研发经验者优先。
只要同学对技术热爱、追求“根技术”，那就快来联系我吧！","在校/应届
本科","C++,Java,Python,计算机相关专业,"
研发工程师/管培生/暑期实习生,上海未蓝,150-190元/天,上海嘉定区上海未蓝工业技术有限公司7幢,"在这里，你将与清华、复旦名师共事，你将会参与公司的材料研发、产品升级，我们助力你成为产品经理、材料专家！
本岗位实习生、应届生都招哦！
岗位职责：
1.收集相关产品动态信息和市场信息，参与公司新品规划战略制定；
2.根据客户及市场产品开发需求，制定开发细则，与国内外供应商共同推进完成产品开发；
3.参与研发项目的整个生命周期，包括产品的技术标准整理，详细设计、试样以及量产等环节；
4.协助研发部门其他日常工作。
任职要求：
1.全日制本科及以上学历；
2.英语四级以上，有一定的专业英语基础，能读写英文文献；
3.高分子材料科学与工程、橡胶加工工艺、材料科学等相关专业
4.熟练使用橡胶加工的实验设备，掌握橡胶的基本性能测试方法；
5.熟练使用office等办公自动化软件；
6.有上进心、责任心、敬业精神，良好的团队合作精神和沟通能力。","5天/周
2个月
本科","高分子材料,橡胶材料,塑料材料,"
unity开发实习,几置科技,250-300元/天,上海徐汇区桂林路406号1号楼上海市徐汇区桂林路406号华鑫中心1号楼218,"职位描述：
使用Unity 3D开发WebGL、PC端应用
参与新功能开发
维护和优化已有项目
可远程工作
------------------------------------------------------------
职位要求：
有Unity3D、WebGL开发经验
熟悉常用数据结构和算法
熟悉C#语言
注重细节、代码质量","4天/周
3个月","C#,Unity3D,WebGL,"
