岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
测试工程师（实习生/应届生）,上海英格尔,150-160元/天,上海闵行区英格尔认证检测1号楼2层人力资源部,"岗位职责：
1、辅助化学实验室质量管理体系运行中的技术性管理工作；
2、参与编写相关的检测、校准方法、实验大纲等作业指导书；
3、辅助实验室的不确定度评定、稳定性考核和结果验证工作；
4、完成上级安排的其他任务。
任职要求：
1、大专及以上学历，化学、医学及相关专业；
2、优秀应届生","5天/周
3个月
大专","测试工程师,化学,实习生,"
电气设计实习生/环保电气工程师,科原环境,6-10K,上海嘉定区远香湖1号办公楼1003,"职位信息
1、从事环保工程项目电气部件的选型以及电气原理图等图纸的绘制设计；
2、PLC编程，电气技术支持
3、协助拟定设计方案、设备选型、材料清单；
岗位要求：
1、本科以上学历，电气工程及自动化、自动化等相关专业，条件优秀放宽至大专（统招）。
2、能使用AutoCAD、Eplan、 TIA等相关电气绘图软件本
3、具有良好的沟通能力（倾听－理解－表达），团队合作精神。有良好的时间观念、有良好的逻辑思维；
4、公司注重员工培养，有广阔的晋升空间，完善的晋升机制，表现优秀享受转调薪、绩效奖励。
5、优秀应届毕业生（2022年）或有相关行业实习经验者优先考虑。","在校/应届
大专","自动化技术,CAD,"
应届生实习生幕墙工程师,维鑫,4-6K,上海闵行区华友大厦-北楼,"1.工民建、机械、结构力学等专业优先录取
2.熟练使用cad
3.公司提供2-3个月培训
4.公司提供住宿","在校/应届
本科","幕墙工程师,CAD,"
IT技术支持工程师（实习生）,富欣通信,150-200元/天,上海浦东新区上海贝尔(宁桥路)6号楼,"岗位职责：
1、公司内部IT热线电话支持提供远程桌面和电话及邮件支持;
2、微软Windows10、Office 2019等软件故障和熟悉网络拓扑结构；
3、办公用台式机、笔记本、网络打印机、办公电话的保修和维修;
4、对帐号、应用申请、IT资产配件的申请、发放、回收等一系列管理。
职位要求：
1、计算机、通讯相关专业（2023届）；
2、熟练解决微软Windows10、Office 2019等软件故障和熟悉网络拓扑结构；
3、沟通能力强、工作认真负责，能够承受工作压力，英语熟练者佳；
4、表现优异者毕业提供转正机会。","4天/周
6个月
大专","网络运维,"
蚂蚁集团-研究型实习生-算法工程师,蚂蚁集团,300-400元/天,上海浦东新区支付宝大厦·S空间南泉北路447号,"● 岗位描述：针对蚂蚁的多模态数据（如表格数据，文本，图片等模态数据）场景，对以下一个或多个相关方向进行前沿技术探索研究：
- 多模态表征技术：对于多种模态数据进行统一融合表征，预训练模型，提升整体数据对业务的效果；
- 非结构化数据内容理解：文本分类及信息提取技术，图片分类及图片内容理解抽取等技术；
- 可解释性技术：深度模型的可解释性技术，知识融合模型技术；
● 岗位要求：计算机相关专业，2024-2025年毕业的在读博士生。熟悉pytorch、tensorflow编程。沟通能力好，思路结构化清晰。有基本的英文论文写作功底，有计算机领域顶会论文者加分。
● 实习时间：全年3月-12月均可，单次不少于3个月，保证每周至少实习3天。","4天/周
3个月
博士","研究导向,风控/反欺诈,语音/图像识别,Python,,,,,"
实习生/应届生助理工程师,熠诚,3-5K,上海松江区小昆山镇镇中心425号3号楼南四栋,"职位描述：.
1.协助工程师制作现场工艺流程卡
2.协助工程师完成编程、调试工作；
3.协助工程师完成样机或零件测试，并记录数据和分析；
4.协助处理其他突发事项
任职要求：
1.机械设计制造及其自动化、机电一体化、电气工程及其自动化等相关专业；
2.大专及以上学历
3.需了解公差配合，金属机加工艺，制图标准；
5.熟练使用办公软件
6.应届生/实习生也可接受，欢迎投递。","在校/应届
大专","自动化,工艺文件编制,UG,"
深度学习算法工程师（实习生）,ZPMC,120-200元/天,上海浦东新区振华企业广场东方路3261号,"有转正机会
岗位职责：
1、协助算法研究员设计目标检测、目标分割、OCR模型；
2、负责深度学习和图像处理算法的部署与调优。
任职要求
要求研二、研三学生
1、熟悉C++，python，linux；
2、了解深度学习的基本原理，如卷积层、池化层等；
3、熟悉tensorflow，pytorch;
4、了解tensorrt部署（如：pytorch-->onnx-->tensorrt）","3天/周
3个月
硕士","C/C++,Python,linux,"
手游测试工程师（游戏QA）-实习生,酷橙游戏,100-150元/天,上海普陀区圣诺亚大厦B座5层508室,"1、撰写相关测试文档（测试计划、测试用例、测试报告等）。
2、跟踪测试结果，与研发团队密切配合,完成开发迭代过程。
3、在测试过程中对各种bug进行分析归纳总结，并负责功能测试，单元测试，性能测试等的具体实施。
4、管理游戏缺陷，跟踪和推动游戏缺陷的解决。
5、熟练操作Word, Excel等Office办公软件。
任职资格：
1、2024年7月毕业的在校生，喜欢玩游戏。
2、具备良好的文字和口头表达能力。
3、对各大智能手机平台(Android,iPhone等)，测试环境及工具有很良好的认识。
4、能在高压下同时胜任多个项目的测试工作。","5天/周
6个月
本科","游戏测试,功能测试,性能测试,"
2023年毕业项目实施工程师(实习生),米色科技,150-300元/天,上海闵行区复地浦江中心2号304,"职位描述:
1.按照实施计划，进行实施部署；针对客户需求和行业特点，依据项目经理的建议和指导，在客户实施过程中能准确把握客户需求并能加以实现；
2.在实施过程中，对客户的企业管理工作进行诊断，提出实施计划的合理性建议和解决方案，及时、有效协调资料解决项目实施过程中出现的疑难问题，并按照实施流程顺利完成实施项目，按时保质实现项目交付和验收，提高客户满意度和用户体验；
3.按照客户要求协助进行现场培训和指导，进行实施文档的编写，完成项目实施进度报告，实施总结等；
4.与客户方保持良好的合作，确保项目进度与质量。
岗位要求：
1.大专及以上学历，计算机相关专业；有实施经验优先；1-2年的可为初级项目经理；
2.有从事企业IT工作、企业管理信息系统导入、用户培训经验；具有OA、ERP系统实施、维护、培训方面的经验者优先；
3.具备良好的SQL server、Oracle等数据库的操作和维护知识和维护能力，有一定的技术（html编写）基础优先； 了解企业级服务器常用软件环境的基本操作；
4.能够胜任项目实施方案的撰写、需求分析和建议书的编写；
5.具备良好自信心，有较强的口头表达能力；
6.有强烈的进取精神、事业心、责任心；能够在压力下工作。
7.表现优异者直接转正。","5天/周
12个月
大专","MySQL,实施工程师/顾问,软件实施,交接现场培训,,,"
医疗器械注册工程师（实习生）,金丝甲(上海)安...,150-200元/天,上海浦东新区盛夏路560号2幢609室,"岗位介绍：
1.负责公司的医疗器械产品注册工作，完成注册所需的材料的撰写，整理和校对工作。
2.与NMPA等注册部门进行沟通协调，跟进注册进度，及时补充材料，解决评审过程中评审老师的问题，确保注册申报得以审理批准。
3.掌握国内外申报注册的法律法规和技术要求，即使更新相关的国家政策和法规。
4.保持与药监局及检测机构的良沟通。
任职资格：
1.专科及以上学历，医药、临床检验、生物工程等相关专业优先录取。
2.熟悉NMPA医疗器械认证的要求、流程、法律法规，有医疗器械注册工作经验的优先录取。
3.具备一定的医疗器械质量管理体系知识。
4.具有良好的沟通能力，具有团队合作精神，责任心强。
培养计划
实习期可转在职在岗员工","3天/周
3个月
大专","二类医疗器械,一类医疗器械,医疗器械生产质量管理规范,,"
模拟集成电路设计工程师(实习生),上海燧原科技有限...,300-350元/天,上海浦东新区亚芯科技园4号楼整栋,"模拟集成电路设计工程师(实习生)
公司简介 
燧原科技专注人工智能领域云端算力平台，致力为人工智能产业发展提供普惠的基础设施解决方案，提供自主知识产权的高算力、高能效比、可编程的通用人工智能训练和推理产品。其创新性架构、互联方案和分布式计算及编程平台，可广泛应用于云数据中心、超算中心、互联网、金融及智慧城市等多个人工智能场。
硬件实现部门简介 
燧原硬件实现部门负责电路设计，RTL综合到GDS流片的全部物理设计。部门选择先进的半导体工艺，使用一流的EDA工具，采用高级方法学和工具平台，构建了复杂、规范且又不失灵活的燧原实现流程，致力于最前沿人工智能芯片的研发。团队成员来自业内知名企业，具有丰富的大芯片、先进工艺、先进方法论的设计流片经验。
 
工作职责
·       负责用于高速接口的模拟和混合信号集成电路的设计和优化
·       负责模拟集成电路的仿真和验证
·       负责与版图设计工程师协助布局和后抽取仿真验证
 
职位基本要求
·       微电子，电子等相关专业硕士及以上学历
·       具有相关课程背景：半导体工艺与器件，模拟集成电路设计，数字集成电路设计，信号与系统，数字信号处理
·       了解模拟集成电路设计的基本流程
·       熟悉Virtuoso开发平台，包括原理图输入，ADE仿真，寄生参数抽取
·       涉及过基本模块设计，包括但不仅限于BG,
Opamp, CMP, LDO, CP, OSC, PLL/DLL, ADC/DAC其中的一项或者多项
·       有相关EDA工具使用经验，如：Virtuoso, ADE, hspice, finesim, Calibre, Quantus
·       熟悉Linux/Unix操作系统以及常用命令者优先
·       良好的英语交流能力
 
优选技能
·      
具有高速接口设计和时钟设计知识或者经历，包括不限于PLL,
Serializer/Deserializer, TX line driver, CTLE, DFE等
·      
具有实际项目开发经历并流片验证
·      
具有Finfet先进工艺设计经验
·      
熟悉Verilog-a,
Verilog-ams, Verilog-ams或则Systemverilog行为建模和混合仿真经历
·      
熟悉Skill,
Python等脚本语言
 
Job Title: Analog IC design engineer (Intern)
 
Department:  Hardware SoC Implementation team
Job Location:  Shanghai
Job Responsibilities:
In this role, the candidate will
be responsible for：
·       Develop and optimize analog and mixed-signal IC for high-speed
IO(SerDes/DDR)
·       Simulate
and verify analog and mixed-signal circuit’s function and performance
·       Co-work
with layout engineer for layout floorplan, parasitic parameter extraction and post-simulation
 
Job Requirements:
Education&
Qualifications:
·      
Minimum
MS degree in ME/EE and related major
·      
Courses
taken in analog IC design, semiconductor basic and devices, signal processing
·      
Familiar
with analog IC design flow
·      
Familiar
with Virtuoso platform, including schematic entry, ADE simulation, parasitic extraction
·      
Develop
experience with at least one of BG, Opamp, CMP, LDO, CP, OSC, PLL/DLL,
ADC/DAC modules
·      
Familiar
with Virtuoso, ADE, hspice, finesim,
Calibre, Quantus EDA tools
·      
Familiar
with Linux/Unix system
·      
Good
at English and be able to do oral/email communication
DIFFERENTIATORS:
·      
Experience or design knowledge of high-speed
IO(SerDes/DDR) or clock, such as PLL, Serializer/Deserializer, TX line driver,
CTLE, DFE
·      
Experience in analog IC module tapeout and
validation
·      
Experience in FinFet design
·      
Experience in mixed-signal simulation, familiar
with Verilog-a/ams, Verilog or Systemverilog for behavioral modeling
·      
Familiar with Skill, Python languages","3天/周
6个月
硕士","Python,Verilog,半导体技术,Unix,Linux,FPGA开发,,,"
医疗器械法规/体系工程师（实习生）,美德氏,150-200元/天,上海浦东新区BHC中环中心东楼711室,"参与并指导客户完成法规认证项目：
1、编制及整理客户委托的法规认证所需要的文档。
2、帮助客户建立和完善质量管理体系文档。
 
岗位要求:
1、本科及以上学历，医学、药学、医疗器械、生物工程或相关工科类专业；
2、欢迎应届毕业生；
 
技能要求：
英语读写熟练。
 
联系方式
上班地址：上海市浦东新区沪南路2218号东楼7楼711室（BHC中环中心）
 
公司信息
上海美德氏医疗科技有限公司触及医疗行业热点需求，提供专业法规解读，专业，高效，诚信，可靠，真正为医疗产品出口的合规环节提供全流程解决方案！
美德氏涉及的服务包括医疗器械欧盟CE认证咨询（MDR;IVDR)，ISO 13485咨询；美国FDA注册（510K；QSR820）；欧代美代；国内NMPA注册咨询：医疗器械欧标美标测试；药品欧标美标测试等。
公司提供宽松的工作环境和竞争力的薪酬福利，热忱期待有志于从事医疗器械法规工作的人才加入我们！
公司网站：https://www.mil-medshare.com","4天/周
2个月
本科","生物工程,CE认证,FDA,二类医疗器械,"
图形多媒体软件工程师实习生,慧国(上海)软件...,250-330元/天,上海杨浦区安联大厦8楼,"岗位职责：
团队介绍：目前慧国拥有一支年轻、强大的研发队伍，主要研制和开发Silicon Motion产品所需之软件包。并可根据消费者市场需求进行开发国内的IC产品及有关的软件产品。
1. windows平台应用和驱动开发，
2. linux平台应用和驱动开发
3. SoC嵌入式软件开发
4. 算法设计与研究
岗位要求：
1. 计算机相关专业硕士在读学生，每周至少四天工作时间。
2. 熟练掌握C 或C++，计算机操作系统原理，计算机体系结构和组原理。
3. 较强的学习能力，沟通能力和抗压能力。","4天/周
6个月
硕士","Linux,Windows,驱动开发,"
综电应用工程师-上海-实习生,润科通用,200-360元/天,上海浦东新区中国商飞上海飞机设计研究院金科路5188,"岗位职责：
1.使用专业软件进行应用开发，如：图形化界面、测试脚本等
2.编写方案、测试大纲、测试报告、使用手册等技术文档
3.熟悉公司的产品和服务，参与项目实施和集成调试工作；
4.阅读系统需求及设计文档，设计测试用例，参与电子系统测试工作
5.在客户现场开展项目实施和技术支持工作
任职条件：
1.研究生及以上学历，电子、计算机、控制、机械等工科类专业；
2.了解电子系统或有相关行业经验者优先；
3.有电子系统相关工程项目或开发测试经验者优先。
加分项
有以下行业经验：计算机软件·船舶/航空/航天·仪器仪表/工业自动化","4天/周
3个月
硕士","软件实施,产品验收,硬件实施,需求分析评估,,,,,"
应用工程师实习生（技术文档方向）,类比半导体,200-300元/天,上海浦东新区新希望半岛科技园3号楼达尔文路88号3幢5层,"工作职责：
1， 负责芯片数据手册等技术文档内容整理和编写；
2， 与设计、市场、测试、产品工程等部门协作产出相关文档内容；
3， 分析同类产品相关参数和应用信息；
4， 根据项目进度随时调整的其他任务。 
任职资格：
1， 电子信息工程及相关专业；
2， 熟练掌握电子信息基础知识；
3， 了解芯片应用系统集成；
4， 善于用简单易懂的语言解释复杂信息；
5， 能够独立产出技术文档内容；
6， 具备较好的沟通协调能力及团队工作意识；
7， 良好的英语读写能力，学习能力强；
8， 能够同时进行多个项目并做好进度管理；
9， 做事细致认真严谨；
10，熟练使用Office等办公软件；
11，有芯片设计公司就职背景和结构化文档编写经验优先。","3天/周
3个月
本科","微电子,"
算法工程师/量化策略研究实习生,非凸科技,400-600元/天,上海徐汇区凯科国际大厦2801,"岗位职责：
根据能力安排一个或多个内容：
1. 股票市场相关的统计分析工作；
2. 股票市场相关的因子复现与实现；
3. 辅助机器学习模型/深度学习模型的调优；
岗位要求：
1. 2023届本科及以上学历，物理、生物、机械动力、化学、材料等理工科相关专业；
2. 有一定代码经历，例如写过Python，C++或JAVA等；
3. 有获得MCM/ICM/ACM/NOI/CMO等竞赛奖项优先；
4. 对技术/策略研究充满热情，思考深入，自我驱动，能快速学习新鲜事物；","4天/周
6个月
本科","Python,"
2023年毕业项目实施工程师（实习生）,米色科技,150-300元/天,上海闵行区复地浦江中心2号楼304,"职位描述:
1.按照实施计划，进行实施部署；针对客户需求和行业特点，依据项目经理的建议和指导，在客户实施过程中能准确把握客户需求并能加以实现；
2.在实施过程中，对客户的企业管理工作进行诊断，提出实施计划的合理性建议和解决方案，及时、有效协调资料解决项目实施过程中出现的疑难问题，并按照实施流程顺利完成实施项目，按时保质实现项目交付和验收，提高客户满意度和用户体验；
3.按照客户要求协助进行现场培训和指导，进行实施文档的编写，完成项目实施进度报告，实施总结等；
4.与客户方保持良好的合作，确保项目进度与质量。
岗位要求：
1.大专及以上学历，计算机相关专业；有实施经验优先；2-4年的可为初级项目经理；
2.有从事企业IT工作、企业管理信息系统导入、用户培训经验；具有OA、ERP系统实施、维护、培训方面的经验者优先；
3.具备良好的SQL server、Oracle等数据库的操作和维护知识和维护能力，有一定的技术（html编写）基础优先； 了解企业级服务器常用软件环境的基本操作；
4.能够胜任项目实施方案的撰写、需求分析和建议书的编写；
5.具备良好自信心，有较强的口头表达能力；
6.有强烈的进取精神、事业心、责任心；能够在压力下工作。
7.表现优异者直接转正。","5天/周
12个月
大专","ERP,CRM,OA,计算机相关专业,"
显示触控效果认证工程师-实习生,华勤技术股份有限公司,180-200元/天,上海浦东新区华勤技术股份有限公司9号楼4楼,"岗位职责
1.能够根据产品特性，制定详细的测试策略和测试计划以及编写测试用例；
2.能够独立完成TP/LCD的主客观测试，可以熟练使用CA-410、CS2000、精致达、东舟机台等测试设备；
3.能够积极主动的推动项目的进程；
4.能够对于TP/LCD测试出现的bug有专业的判断
岗位要求：
1、22届本科及以上应届生、电子，通信，计算机，自动化相关专业；
2、对屏幕色彩敏感或对显示触控有所了解或对显示触控部分感兴趣的同学；
3、工作认真、负责、有耐心、有独立判断力、有主动学习意识；
4、沟通协调能力、语言及文字表达能力强，有较强的逻辑思维能力，团队合作意识强；
5、可以熟练应用各种办公软件。","5天/周
3个月
本科","硬件测试,TP/LCD,实习生,"
应届生/实习生（芯片测试/质量工程师）,利扬芯片,7-9K·13薪,上海嘉定区利扬芯片上海嘉定区招贤路666号,"岗位描述：
1、负责客户投诉处理；
2、负责客户稽核应对、客户需求处理提高客户满意度；
3、负责厂内异常处理，并与相关部门分析异常原因及提供解决方案，并对解决方案落实度及有效性进行追溯；
4、依据体系相关文件，督促各部门有效执行；
5、推动厂内持续改善；
6、制定QC，QA相关作业指导书。
任职条件：
1.应届生、实习生，本科以上学历，无经验亦可；
2.理工科专业；
3.有较强的学习能力、沟通能力及对外协调能力。","在校/应届
本科","QA,"
驻场技术工程师（应届生，实习生均可）,亿隅半导体,5-7K·13薪,上海青浦区E通世界商务园华新园LG128,"岗位职责：
1、负责客户现场电源设备的安装、调试和现场问题解决；
2、负责客户现场测试数据的整理、分析和沟通协调；
3、熟悉工艺原理，严格遵守产品工艺规程，按质量体系要求做好各项记录；
4、客户现场的6S管理工作；
5、在保证质量的前提下，工作主动、认真、负责，能够服从领导安排。
任职要求：
1、自动化、机电机械、电子信子等相关专业，专科及以上学历，无经验也可；
2、有良好的团队意识与合作精神；
3、具有较强的安全意识和保密意识；
4、能适应长期驻扎客户现场；
5、有较强的的沟通协调能力；
6、有电气结构设计知识或经验。
加分项
有以下行业经验：电力/热力/燃气/水利·机械设备/机电/重工·新能源","在校/应届
大专","系统调试,产品咨询,硬件集成调试,技术沟通,"
数据研发工程师,阿里巴巴,200-300元/天,上海浦东新区支付宝8,"【2022届实习生】数据研发
【2022届实习生】数据分析
【2022届实习生】大数据开发
【硬性要求】毕业时间：2021.11 - 2022.10
岗位职责
部门：企业智能事业部-阿里大脑团队-企业数据平台
岗位：实习数据研发工程师
期望专业：计算机、数学、统计相关类专业，如果你足够优秀，其实专业也不是问题。
期望掌握技能：SQL、python、java等编程语言掌握其一都可以，数据库、计算机基础、操作系统等计算机基础扎实，机器学习、统计分析经验都有加分。
【部门介绍】
如果说，DT重新定义了电商数据、蚂蚁重新定义了金融数据、菜鸟重新定义了物流数据，那么阿里大脑，则重新定义了“企业数据“。阿里大脑基于产品、业务、组织等视角，把工作行为数字化，通过资源盘点和效能分析，综合考虑产品、业务、组织的投资回报率和未来价值，辅助中高层管理者进行智能管理和决策。阿里大脑代表了未来企业数字化的转型方向，是”数字新基建“的排头兵。春节期间的数字化战”疫“的过程，让大家充分感受到企业数字化的便利和安全！
如果你对组织经营管理感兴趣，如果你对数字化决策有思考和想法，那么你就是我们要寻找的“同路人”。这里鸾翔凤集，汇聚了许多行业内的中流砥柱，助你竿头直上；这里有丰富的场景和海量的数据，让你绽放光芒。你搭建的每一个架构，你敲下的每一行代码，你制定的每一次策略，都会成为改变世界的力量。
因为相信，所以看见，我们欢迎心怀共同梦想的同学加入，让我们一起探索组织经营管理数字化决策之路！","5天/周
2个月
硕士","SQL,Python,Java,Scala,Spark,Hadoop,HDFS,,"
市政工程师实习岗,虹口民防,10-15K,上海静安区长泰企业天地广场A座海宁路899号A座1204室,"工作职责：
1、全面负责工程技术、质量管理工作，参加图纸会审，参与编制施工组织计划、质量计划和作业指导书。
2、协调业主、监理以及地方政府等周边关系。
3、深入现场解决问题，处理施工中的质量问题和其他难题；负责协调处理工程施工中的重大技术问题或施工方案。
4、熟悉合同文件，设计图纸以及业主、监理关于工程质量、进度、计量等各项程序，负责主持本项目的图纸会审、工程数量复核工作。
5、组织工程成本核算及成本分析、控制工作，负责制定项目部的总体或阶段性施工组织方案并组织实施。
6、对施工现场出现的质量事故，提出处理方案、制定改进措施并负责监督落实。
7、负责组织和实施本工程项目的设计变更和竣工验收工作。
 任职要求:
1、建筑工程、市政公用工程、造价、预算等相关专业大专以上学历；
2、2年以上相关工作经验，具有注册造价师资格；
3、熟练掌握相关领域工程造价管理和成本控制流程，了解相关规定和政策；
4、工作严谨，善于沟通，具备良好的团队合作精神和职业操守；
5、卓越的执行能力，学习能力和独立工作能力。","1年以内
大专","综合素质,学习能力,"
研发工程师/实验员实习生,长春金赛药业,3-4K,上海徐汇区H88越虹广场19层,"主要职责：
参与项目研发，完成文献调研，执行实验方案。
负责产品材料的表征、性能测试，清晰完整的书写实验记录与实验报告。
对实验数据进行分析总结，科学分析实验中遇到的困难并提出合理解决方案。
参与研发过程中供应商的开发，设备、原材料采购以及评价，并完成相关原材料的表征以及设备参数测试。
负责实验室日常管理与维护工作。
完成上级安排的其他工作。
 
任职要求；
本科以上学历，化学、材料、化工、应用化学、分析化学、生物工程等相关专业者优先。
较强的实验动手能力和分析解决问题能力，具有清晰的工作思路。
1年以上化学实验室工作经验优先，1年以上医疗器械研发工作经验优先。
具有良好的英文阅读能力，独立完成相关文献调研。
熟悉实验室工作流程以及体系标准。
具有良好的责任心，抗压能力以及团队协作精神。","经验不限
学历不限","材料专业,化学专业,生物专业,"
电子电气测试工程师实习岗,碧拓,6-10K·13薪,上海松江区G60科创云廊6号楼807室,"150-200/天 上海 专科/本科 3天／周 实习6个月 提供转正机会
关键字：可转正实习，氛围好，老带新，快速成长，实习证明
 
岗位职责：
1、 协助硬件工程师完成测试任务，输出测试报告
2、 编写测试用例或作业指导书
3、 测试系统设计开发；
4、 完成交付的其他工作
 
 
岗位要求：
1、大三及以上在读学生，电气电子、自动化、机电一体化等相关专业
2、熟练运用熟练使用示波器、万用表、信号发生器等工具；
3、熟悉电子电路设计和熟练使用电子设计软件优先；
4、为人诚实、正直，有快速成长的渴望；
 
实习收获
1.学习到数字配电硬件产品设计与测试知识；
2.细分市场领先科技型创业公司的实习经历；
3.有转正留用机会。","经验不限
大专","自动化相关专业,机电相关专业,通信相关专业,,"
机器人调试工程师(应届实习岗),简一自动化,4-7K·13薪,上海嘉定区上海简一自动化有限公司上海市嘉定区园业路186号,"岗位职责:
1、负责完成自动化项目中机器人拆机到交付过程中的工作;
2、负责机器人调试过程中问题的解决;
3、协助和配合其他部门开展工作;
4、负责设备在公司及客户现场的调试工作;
5、与客户保持良好的沟通,及时解决现场问题;
6、负责设备问题的收集、整理、反馈;
7、负责对客户进行设备操作维护方面的培训;
8、负责设备后期维护保养及故障紧急对接,售后陪产;
9、完成领导交付的其他工作。
岗位要求：
1、全日制专科及以上学历,工业机器人技术、电气自动化或机电一体化专业优先；
2、了解工业机器人,具备现场解决问题的能力;
3、善于学习总结,逻辑思维较强,能适应出差工作。
4、公司培训，一对一老带新项目学习。","经验不限
大专","电气安装,机器人调试,工业机器人,"
IOS研发工程师（同招应届实习生）,兴业数金,24-45K·13薪,上海浦东新区祥科路298号佑越国际祥科路298号,"岗位职责：
1、参与iOS平台产品的核心框架的改进；
2、完成iOS平台产品的开发工作；
3、实现与服务器端的接***互。
岗位要求：
1、至少2年以上iOS开发经验，至少参与2个及以上项目的IOS开发与维护，有计算机、金融相关行业2年及以上工作经历者优先；
2、精通Objective-C语言，了解SWIFT语言；熟悉iOS开发平台及框架原理，iOS界面开发规范，有基础的前端技能（熟悉CSS3、HTML5更佳）；能够清晰的理解Objective-C的runtime的运行机制和iOS平台的内存管理机制。
3、熟悉iOS客户端开发流程的控制及优化；熟悉整个App Store上架流程；具备较强的开发、调试、性能优化能力；掌握XML/JSON数据Api应用；熟练阅读英文资料更佳；具有reactNative、nodejs等经验者优先
4、全日制统招985/211本科以上国内外学院 （硕士不要求学院）
5.同时招聘安卓开发（含应届）
6、内推岗，面试方式： 线上远程面试
7、招聘流程：
①发送简历→②简历初选→③线上笔试→④视频面试→⑤体检→⑥录用
职位诱惑：
团队内推   六险二金，17薪，超额奖金，高福利 等","3-5年
本科","IOS,移动端,ios开发工程师,内推岗,"
开发实习,朴临信息,4-8K,上海普陀区智己汽车上海普陀体验及交付中心A407,"相关项目的工作，可以进行以下任意一种或多种工作
1.Java开发，SpringBoot，MyBatisPlus；同时具备SpringCloud更好
2.Vue3开发，ElementPlus，TypeScript；同时具备Vue2 + ElementUI更好
3.H5/微信小程序开发，Uniapp
4.Golang
5.Python
6.测试","经验不限
本科","全栈开发,"
AI芯片量化工具研发工程师/实习生,超星未来Novauto,30-60K,上海嘉定区汽车·创新港11号楼5单元1层,"岗位职责：
1. 负责开发深度学习模型量化工具；
职位要求：
1. 有良好的代码开发风格和软件工程思维，熟练使用C++、Python；
2. 熟悉计算机体系结构及相关量化分析方法；
3. 熟悉神经网络算法原理以及Pytorch、TensorFlow等深度学习框架；
4. 熟悉Linux操作系统，熟练使用Git等开发工具；
满足以下条件者优先：
5. 有底层代码性能优化经验；
6. 有深度学习模型量化算法经验。","经验不限
硕士","C++,Python,深度学习算法,TensorFlow,PyTorch,"
C#开发实习,隽乐信息科技,3-5K,上海虹口区荣欣大厦(西南门)2楼312,"计算机、软件开发、软件工程、信息管理、电子通信、自动化等其他计算机和数学相关专业；
熟练掌握C#，JavaScript，PHP等语言，了解面向对象编程的基本理论；
对计算机技术有浓厚兴趣，做事踏实、仔细、认真；
具有较强的学习能力、沟通能力和执行力；
有强烈的好奇心，乐于接受新事物和新技术；在校期间有实际项目开发经验者优先考虑；
时间充裕，毕业前每周至少可以到岗3天","应届生
大专","HTML/CSS,C#,数据库,JavaScript,.NET,ASP.NET,,,"
UI 设计- 实习生,Mobile Now,150-200元/天,上海徐汇区现代大厦A楼(襄阳南路)503,"Primary Responsibilities:
• Work with your mentor, learn from, and support him/her on design related activities and tasks, ranging from research, comprehensive designs, to creating visual design specifications, development support, and more.
• Internal presentation of your iterative work and design rationale.
• Work in a multi-disciplinary setting, interacting with UI designers, project managers, engineers, and quality analysts.
Work Experience and Education:
• Academic background in a design related field preferred (Human Computer Interaction, Fine Arts, Multimedia design, Graphic Design, Communications Design, etc.).
• English writing and speaking is preferred.
• Knowledge of Figma, Sketch, Zeplin, and Keynote a plus.
Other requirements:
• We understand internships involve a lot of learning and unfamiliar territory, we don't expect candidates to know everything, but it is important for candidates to have a positive, constructive, driven, and open mindset to learning and working in the field of UI.","2天/周
4个月
本科","交互设计,视觉设计,"
自然语言处理 实习生,美的集团,200-300元/天,上海青浦区国家会展中心C办公楼7座7层1,"1. 负责NLP关键算法研究及平台研发，包括但不限于文本分类、信息抽取、机器翻译，机器阅读理解；
2. 探索自然语言处理前沿技术，并应用于对话系统、知识图谱等业务领域，提供面向企业及消费者的技术解决方案；
3. 发表过顶级会议论文者优先，有知名竞赛冠军方案者优先；","4天/周
3个月
硕士","算法设计,文本分类,机器阅读理解,机器翻译,知识图谱,,,,"
软件开发实习生,魅奈儿科技,7-12K,上海杨浦区君欣时代广场商务楼20楼,"软件开发实习生
职位需求：
1、本科以上学历，计算机、软件开发等相关专业毕业；
2、对软件开发工作感兴趣，学习能力较强，自我驱动力较强；
3、有团队责任心，做事认真负责。
4、本岗位一经录用，公司全力培养，长期聘用。
岗位职责：
1、负责公司的各种Node.js程序开发，包括但不限于web后端。
2、参与系统架构、模块设计和文档编写；
3、服务端软件系统维护；
4、服务端socket模块相关开发；
5、独立分析需求，给出良好的解决方案，完成开发及调试工作；
6、代码优化。
职位招聘1-2人","在校/应届
本科","后端开发,Socket技术,架构师,"
管理培训生 实习生,上海凌世,4-6K,上海普陀区上海凌世电子有限公司普陀区同普路1225弄5号楼2楼,"招聘要求：
1、学历：大专及以上；
2、专业不限。电子、自动化、市场营销等专业优先考虑；
3、性格开朗，积极杨光，工作积极主动，善于沟通，工作责任心强，有良好的团队合作意识。
工作时间：
周一至周五，双休日节假日，每天工作八小时，公司提供工作午餐。
工作地点：
上海市普陀区同普路（地铁13号线祁连山南路站）
职业规划：
公司提供带教培训，帮助职场小白成功转型。
提供职位包括：销售、研发、质检、管理等。
薪酬福利待遇从优考虑，欢迎2020届、20201届学生投递。
职位招聘1人","在校/应届
大专","管培生,"
